23.23.228.148 - - [08/Jan/2014:06:49:18 +0000] "GET / HTTP/1.1" 499 0 "-" "curl/7.22.0 (x86_64-pc-linux-gnu) libcurl/7.22.0 OpenSSL/1.0.1 zlib/1.2.3.4 libidn/1.23 librtmp/2.3"
50.155.223.68 - - [08/Jan/2014:17:40:56 +0000] "GET / HTTP/1.1" 200 1516 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
50.155.223.68 - - [08/Jan/2014:17:40:57 +0000] "GET / HTTP/1.1" 200 1498 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
50.155.223.68 - - [08/Jan/2014:17:40:57 +0000] "GET /favicon.ico HTTP/1.1" 404 209 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
50.155.223.68 - - [08/Jan/2014:17:41:00 +0000] "GET / HTTP/1.1" 200 1493 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
50.155.223.68 - - [08/Jan/2014:17:41:00 +0000] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 0 "http://knockknockbarack.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
50.155.223.68 - - [08/Jan/2014:17:41:00 +0000] "GET /static/css/style.css HTTP/1.1" 304 0 "http://knockknockbarack.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
50.155.223.68 - - [08/Jan/2014:17:41:00 +0000] "GET /static/img/white_house.png HTTP/1.1" 304 0 "http://knockknockbarack.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
50.155.223.68 - - [08/Jan/2014:17:41:00 +0000] "GET /static/js/get_joke.js HTTP/1.1" 304 0 "http://knockknockbarack.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
50.155.223.68 - - [08/Jan/2014:17:41:00 +0000] "GET /static/js/bootstrap.min.js HTTP/1.1" 304 0 "http://knockknockbarack.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
50.155.223.68 - - [08/Jan/2014:17:41:00 +0000] "GET /static/img/flag.jpg HTTP/1.1" 304 0 "http://knockknockbarack.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
50.155.223.68 - - [08/Jan/2014:17:41:03 +0000] "GET / HTTP/1.1" 200 1546 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
50.155.223.68 - - [08/Jan/2014:17:41:03 +0000] "GET /static/css/style.css HTTP/1.1" 304 0 "http://knockknockbarack.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
50.155.223.68 - - [08/Jan/2014:17:41:03 +0000] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 0 "http://knockknockbarack.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
50.155.223.68 - - [08/Jan/2014:17:41:03 +0000] "GET /static/js/bootstrap.min.js HTTP/1.1" 304 0 "http://knockknockbarack.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
50.155.223.68 - - [08/Jan/2014:17:41:03 +0000] "GET /static/img/white_house.png HTTP/1.1" 304 0 "http://knockknockbarack.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
50.155.223.68 - - [08/Jan/2014:17:41:03 +0000] "GET /static/js/get_joke.js HTTP/1.1" 304 0 "http://knockknockbarack.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
50.155.223.68 - - [08/Jan/2014:17:41:03 +0000] "GET /static/img/flag.jpg HTTP/1.1" 304 0 "http://knockknockbarack.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
50.155.223.68 - - [08/Jan/2014:17:41:05 +0000] "GET / HTTP/1.1" 200 1468 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
50.155.223.68 - - [08/Jan/2014:17:41:05 +0000] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 0 "http://knockknockbarack.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
50.155.223.68 - - [08/Jan/2014:17:41:05 +0000] "GET /static/css/style.css HTTP/1.1" 304 0 "http://knockknockbarack.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
50.155.223.68 - - [08/Jan/2014:17:41:05 +0000] "GET /static/js/get_joke.js HTTP/1.1" 304 0 "http://knockknockbarack.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
50.155.223.68 - - [08/Jan/2014:17:41:05 +0000] "GET /static/js/bootstrap.min.js HTTP/1.1" 304 0 "http://knockknockbarack.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
50.155.223.68 - - [08/Jan/2014:17:41:05 +0000] "GET /static/img/white_house.png HTTP/1.1" 304 0 "http://knockknockbarack.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
50.155.223.68 - - [08/Jan/2014:17:41:05 +0000] "GET /static/img/flag.jpg HTTP/1.1" 304 0 "http://knockknockbarack.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
50.155.223.68 - - [08/Jan/2014:17:41:07 +0000] "GET / HTTP/1.1" 200 1463 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
50.155.223.68 - - [08/Jan/2014:17:41:07 +0000] "GET /static/css/style.css HTTP/1.1" 304 0 "http://knockknockbarack.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
50.155.223.68 - - [08/Jan/2014:17:41:07 +0000] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 0 "http://knockknockbarack.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
50.155.223.68 - - [08/Jan/2014:17:41:07 +0000] "GET /static/img/white_house.png HTTP/1.1" 304 0 "http://knockknockbarack.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
50.155.223.68 - - [08/Jan/2014:17:41:07 +0000] "GET /static/js/get_joke.js HTTP/1.1" 304 0 "http://knockknockbarack.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
50.155.223.68 - - [08/Jan/2014:17:41:07 +0000] "GET /static/js/bootstrap.min.js HTTP/1.1" 304 0 "http://knockknockbarack.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
50.155.223.68 - - [08/Jan/2014:17:41:07 +0000] "GET /static/img/flag.jpg HTTP/1.1" 304 0 "http://knockknockbarack.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
